row_name,gamma,ratio_Time_dyn,Distribution,ratio_the_sta_YD_dyn,ratio_YD_sta_YD_dyn
1,0.1,1.066650197,Uniform,1.0012367,1.000787785
2,0.1,1.033041606,Uniform,1.0012367,1.000787785
3,0.1,1.036352022,Uniform,1.0012367,1.000787785
4,0.1,1.024967345,Uniform,1.0012367,1.000787785
5,0.1,1.038838855,Uniform,1.0012367,1.000787785
6,0.1,1.065983107,Uniform,1.0012367,1.000787785
7,0.1,1.07944672,Uniform,1.0012367,1.000787785
8,0.1,1.050863451,Uniform,1.0012367,1.000787785
9,0.1,1.088944298,Uniform,1.0012367,1.000787785
10,0.1,1.085091776,Uniform,1.0012367,1.000787785
11,0.1,1.039088658,Uniform,1.0012367,1.000787785
12,0.1,1.078243766,Uniform,1.0012367,1.000787785
13,0.1,1.043273246,Uniform,1.0012367,1.000787785
14,0.1,1.09000222,Uniform,1.0012367,1.000787785
15,0.1,1.034222388,Uniform,1.0012367,1.000787785
16,0.1,1.044330837,Uniform,1.0012367,1.000787785
17,0.1,1.09172871,Uniform,1.0012367,1.000787785
18,0.1,1.050466047,Uniform,1.0012367,1.000787785
19,0.1,1.047550241,Uniform,1.0012367,1.000787785
20,0.1,1.069916882,Uniform,1.0012367,1.000787785
21,0.1,1.078417164,Uniform,1.0012367,1.000787785
22,0.1,1.083922737,Uniform,1.0012367,1.000787785
23,0.1,1.051649711,Uniform,1.0012367,1.000787785
24,0.1,1.041871797,Uniform,1.0012367,1.000787785
25,0.1,1.083365789,Uniform,1.0012367,1.000787785
26,0.1,1.083299191,Uniform,1.0012367,1.000787785
27,0.1,1.04627407,Uniform,1.0012367,1.000787785
28,0.1,1.057359537,Uniform,1.0012367,1.000787785
29,0.1,1.074203318,Uniform,1.0012367,1.000787785
30,0.1,1.045623614,Uniform,1.0012367,1.000787785
31,0.1,1.038848075,Uniform,1.0012367,1.000787785
32,0.1,1.049963262,Uniform,1.0012367,1.000787785
33,0.1,1.046944549,Uniform,1.0012367,1.000787785
34,0.1,1.065772192,Uniform,1.0012367,1.000787785
35,0.1,1.060443352,Uniform,1.0012367,1.000787785
36,0.1,1.042793644,Uniform,1.0012367,1.000787785
37,0.1,1.057539499,Uniform,1.0012367,1.000787785
38,0.1,1.080713197,Uniform,1.0012367,1.000787785
39,0.1,1.056592656,Uniform,1.0012367,1.000787785
40,0.1,1.063628891,Uniform,1.0012367,1.000787785
41,0.1,1.057643936,Uniform,1.0012367,1.000787785
42,0.1,1.06397623,Uniform,1.0012367,1.000787785
43,0.1,1.05692299,Uniform,1.0012367,1.000787785
44,0.1,1.075471861,Uniform,1.0012367,1.000787785
45,0.1,1.041831137,Uniform,1.0012367,1.000787785
46,0.1,1.053492708,Uniform,1.0012367,1.000787785
47,0.1,1.056586532,Uniform,1.0012367,1.000787785
