row_name,sigma,Mean,Distribution,Ratio
1,2.3094,1,Uniform,ratio_sta
2,2.3094,0.9997,Uniform,ratio_dyn
3,5.1962,1,Uniform,ratio_sta
4,5.1962,0.9999,Uniform,ratio_dyn
5,8.0829,1,Uniform,ratio_sta
6,8.0829,0.9998,Uniform,ratio_dyn
7,10.9697,1,Uniform,ratio_sta
8,10.9697,1,Uniform,ratio_dyn
9,13.8564,1,Uniform,ratio_sta
10,13.8564,0.9997,Uniform,ratio_dyn
11,17.3205,1,Uniform,ratio_sta
12,17.3205,0.9991,Uniform,ratio_dyn
13,19.6299,1,Uniform,ratio_sta
14,19.6299,0.9996,Uniform,ratio_dyn
15,22.5167,1,Uniform,ratio_sta
16,22.5167,0.9985,Uniform,ratio_dyn
17,25.4034,1,Uniform,ratio_sta
18,25.4034,0.9994,Uniform,ratio_dyn
19,28.2902,1,Uniform,ratio_sta
20,28.2902,0.998,Uniform,ratio_dyn
21,5,1,Gamma,ratio_sta
22,5,1.0002,Gamma,ratio_dyn
23,5.2705,1,Gamma,ratio_sta
24,5.2705,0.9999,Gamma,ratio_dyn
25,5.5902,1,Gamma,ratio_sta
26,5.5902,0.9995,Gamma,ratio_dyn
27,5.9761,1,Gamma,ratio_sta
28,5.9761,0.9999,Gamma,ratio_dyn
29,6.455,1,Gamma,ratio_sta
30,6.455,0.9999,Gamma,ratio_dyn
31,7.0711,1,Gamma,ratio_sta
32,7.0711,0.9998,Gamma,ratio_dyn
33,7.9057,1,Gamma,ratio_sta
34,7.9057,0.9997,Gamma,ratio_dyn
35,10,1,Gamma,ratio_sta
36,10,1,Gamma,ratio_dyn
37,11.1803,1,Gamma,ratio_sta
38,11.1803,0.9995,Gamma,ratio_dyn
39,15.8114,1,Gamma,ratio_sta
40,15.8114,0.9998,Gamma,ratio_dyn
41,0.5,1,Normal,ratio_sta
42,0.5,1,Normal,ratio_dyn
43,1,1,Normal,ratio_sta
44,1,1,Normal,ratio_dyn
45,1.5,1,Normal,ratio_sta
46,1.5,0.9998,Normal,ratio_dyn
47,2,1,Normal,ratio_sta
48,2,0.9999,Normal,ratio_dyn
49,2.5,1,Normal,ratio_sta
50,2.5,0.9999,Normal,ratio_dyn
51,3,1,Normal,ratio_sta
52,3,1.0001,Normal,ratio_dyn
53,3.5,1,Normal,ratio_sta
54,3.5,0.9997,Normal,ratio_dyn
55,4,1,Normal,ratio_sta
56,4,0.9999,Normal,ratio_dyn
57,4.5,1,Normal,ratio_sta
58,4.5,1,Normal,ratio_dyn
59,5,1,Normal,ratio_sta
60,5,1.0002,Normal,ratio_dyn
